Brand,TY,LY,vs LY
Adidas,100.6538439724357,88.47234254983154,13.77%
Anthropologie,129.17653158800601,0.0,inf%
Boggi Milano,283.5775691705152,247.03621811926055,14.79%
Bose,582.8571428571429,726.233560090703,-19.74%
Calzedonia,49.610008220583325,43.257943023892594,14.68%
Decathlon,68.52574608435675,74.0717792118511,-7.49%
Deichmann,33.25257343293663,42.542217825163014,-21.84%
Intimissimi,103.00254146488788,88.18001370454823,16.81%
Intimissimi UOMO,66.78857142857143,0.0,inf%
Kiko,39.09757370243394,31.818234560496386,22.88%
Mango,91.65090279899785,89.83985418508387,2.02%
Missguided,0.0,48.70748299319728,-100.0%
Mohito,0.0,24.7842991211083,-100.0%
Mood,176.01768707482992,256.6725820763088,-31.42%
Oculis,143.73885612398848,67.39189187236151,113.29%
Punt Roma,138.01937595755402,152.57207604371712,-9.54%
Reebok,52.28524482418666,76.93799266260645,-32.04%
Reserved,48.168728332124985,42.60915300795481,13.05%
Salsa Jeans,140.78206912761235,113.11795479065955,24.46%
Squatwolf,53.45965164818504,63.070957380198976,-15.24%
Tezenis,29.30811511229795,26.576565534214733,10.28%
Trendyol,68.06580363987044,62.25233842033663,9.34%
Urban Outfitters,70.9843146453984,65.36727412998732,8.59%
Virgin Megastore,239.13341775630667,144.74814322617735,65.21%
