Brand,TY,LY,vs LY
Lovisa,238388.0,203014.0,17.42%
Flying Tiger,2790242.0,1832203.0,52.29%
Stradivarius,12939620.0,11999363.0,7.84%
Massimo Dutti,38158210.0,39093616.0,-2.39%
Boggi Milano,8836912.0,8289025.0,6.61%
Lefties,9001862.0,7482824.0,20.3%
Anthropologie,791075.0,1640071.0,-51.77%
Oysho,22087431.0,22200845.0,-0.51%
Reserved,3818832.0,3421952.0,11.6%
Bose,1594945.0,1595309.0,-0.02%
Intimissimi UOMO,188778.0,152012.0,24.19%
Adidas/Reebok Wholesale – Impo,1148248.0,266058.0,331.58%
Sunglass Hut,6800002.0,6837680.0,-0.55%
Reebok,71071.0,87773.0,-19.03%
Kiko Franchise,908670.0,626938.0,44.94%
W'ite,33224.0,166011.0,-79.99%
Oculis,519036.0,498530.0,4.11%
Zara,140825571.0,154771799.0,-9.01%
Zara Home,11913040.0,13772882.0,-13.5%
Missguided,0.0,272249.0,-100.0%
Tezenis,1765996.0,1245748.0,41.76%
Pull & Bear,19543385.0,20589758.0,-5.08%
Urban Outfitters,4436870.0,4690776.0,-5.41%
Salsa Jeans,1700563.0,2081366.0,-18.3%
Calzedonia,2799180.0,2305388.0,21.42%
Intimissimi,2249941.0,1856810.0,21.17%
Kiko,16858142.0,17925676.0,-5.96%
Deichmann,1421493.0,1640112.0,-13.33%
Outlet Adidas/Reebok,1397214.0,1108568.0,26.04%
Decathlon,20149715.0,20129251.0,0.1%
Mood,815231.0,1074408.0,-24.12%
Bershka,24681159.0,26755288.0,-7.75%
Virgin Megastore,48130293.0,53928793.0,-10.75%
Punt Roma,1750296.0,1929004.0,-9.26%
Mango HE,667089.0,579536.0,15.11%
Mango,13803259.0,13644617.0,1.16%
adidas,2117889.0,1458762.0,45.18%
