Brand,TY,LY,vs LY
Trendyol,0.6311007809152688,0.8494748976413983,-25.70695347590072
Anthropologie,0.0,0.0,0.0
Intimissimi,0.6414004762553612,0.007870784489052329,8049.130206112252
2,0.23686119717980594,0.3806903629814124,-37.78114178546439
Decathlon,0.335011746375982,0.7255461027329367,-53.826263401583574
Tezenis,0.25224436753258805,0.03667816311692236,587.7235556439548
Reserved,0.1144579170232938,0.3663096416463976,-68.75377985988662
Deichmann,0.06225223902510645,-0.13554817275747508,0.0
Urban Outfitters,0.38758315596177123,0.4280994030265168,-9.464214801120837
Boggi Milano,10.02758171416237,0.5604537418554799,1689.1898947742434
Calzedonia,0.37184438483769083,0.63986326101749,-41.88689873420833
Gant,0.0,0.0,0.0
Kiko,0.09860878415855173,0.0,0.0
Virgin Megastore,8.11069225991883,0.9453660075047521,757.9420240978
Salsa Jeans,0.0,0.0,0.0
Punt Roma,0.13403047169280913,0.0,0.0
Zippy,0.0,0.0,0.0
OVS,-0.07385811467444121,0.0,0.0
Little Mistress,-0.5481049562682216,0.0,0.0
Isla & Evie,0.0,0.0,0.0
Mood,5.368633940062511,0.0,0.0
Intimissimi UOMO,0.0,0.0,0.0
Squatwolf,-0.6143527833668679,0.6015164729236161,-202.13399150664358
Dwell,0.0,0.0,0.0
La Senza,0.0,0.0,0.0
Bose,0.0,0.0,0.0
Castore,0.0,0.0,0.0
Oculis,0.0,0.0,0.0
Adidas,1.424476055155488,0.9070274749116926,57.04883198760587
D205,0.0,0.0,0.0
D202,0.0,0.0,0.0
D203,0.0,0.0,0.0
D201,0.0,0.0,0.0
Reebok,0.0,1.4023312258412488,-100.0
