Brand,TY,LY,vs LY
Deichmann,19020.472003639752,20377.722338253083,-6.66%
Punt Roma,16562.32511490648,14646.919300196845,13.08%
Bose,5828.571428571428,4357.401360544218,33.76%
Intimissimi UOMO,1669.7142857142858,0.0,inf%
Kiko,40114.110618697225,16672.754909700107,140.60%
Missguided,0.0,48.70748299319728,-100.00%
Boggi Milano,62670.642786683864,80533.80710687894,-22.18%
Mood,7040.707482993197,5903.469387755103,19.26%
Oculis,431.2165683719654,2560.8918911497376,-83.16%
Reebok,1777.6983240223465,12079.264848029212,-85.28%
Tezenis,15679.841585079404,14590.53447828389,7.47%
Mohito,0.0,13581.795918367347,-100.00%
Mango,303731.09187587886,236638.17592351086,28.35%
Anthropologie,215208.10162561803,0.0,inf%
Squatwolf,3956.0142219656927,9334.501692269449,-57.62%
Intimissimi,60874.50200574874,40915.52635891038,48.78%
Adidas,79315.22905027933,47775.06497690903,66.02%
Trendyol,239115.16818686487,271295.69083582703,-11.86%
Calzedonia,43904.85727521624,44079.843941346546,-0.40%
Reserved,33332.76000583049,32084.692214989973,3.89%
Decathlon,175220.33273770023,318656.7941693834,-45.01%
Urban Outfitters,61756.353741496605,71773.26699472607,-13.96%
Salsa Jeans,19146.36140135528,39930.63804110282,-52.05%
Virgin Megastore,136066.91470333847,64123.42744919656,112.20%
