TY Quantity,Budget Quantity,vs Budget,LY Quantity,vs LY,Brand
8221,11126,-26.11001258313859,11126,-26.11001258313859,Trendyol
2561,18,14127.777777777777,18,14127.777777777777,Anthropologie
1507,1413,6.652512384996462,1413,6.652512384996462,Intimissimi
4391,9548,-54.01131126937578,9548,-54.01131126937578,Decathlon
1113,1524,-26.968503937007878,1524,-26.968503937007878,Tezenis
668,1258,-46.89984101748807,1258,-46.89984101748807,Reserved
1125,1978,-43.124368048533874,1978,-43.124368048533874,Urban Outfitters
321,561,-42.780748663101605,561,-42.780748663101605,Boggi Milano
861,509,69.15520628683693,509,69.15520628683693,Deichmann
2012,3563,-43.53073252876789,3563,-43.53073252876789,Calzedonia
2209,1403,57.44832501781896,1403,57.44832501781896,Kiko
51,0,0.0,0,0.0,Little Mistress
428,645,-33.64341085271318,645,-33.64341085271318,Virgin Megastore
118,522,-77.39463601532567,522,-77.39463601532567,Salsa Jeans
142,30,373.3333333333333,30,373.3333333333333,Gant
141,184,-23.369565217391305,184,-23.369565217391305,Punt Roma
44,13,238.46153846153845,13,238.46153846153845,Zippy
6,0,0.0,0,0.0,Isla & Evie
51,55,-7.2727272727272725,55,-7.2727272727272725,Mood
72,0,0.0,0,0.0,OVS
14,0,0.0,0,0.0,Dwell
26,0,0.0,0,0.0,La Senza
49,0,0.0,0,0.0,Intimissimi UOMO
97,181,-46.408839779005525,181,-46.408839779005525,Squatwolf
8,4,100.0,4,100.0,Bose
1,0,0.0,0,0.0,Castore
1,92,-98.91304347826086,92,-98.91304347826086,Oculis
694,572,21.328671328671327,572,21.328671328671327,Adidas
25,122,-79.50819672131148,122,-79.50819672131148,Reebok
