Brand,TY,LY,vs LY
Deichmann,3028.821134407221,5824.534710652132,-48.00%
Missguided,0.0,102.92525371076124,-100.00%
Urban Outfitters,11735.687074829932,30583.727891156468,-61.63%
Salsa Jeans,4765.9049333626845,14735.509972389904,-67.66%
Oculis,93.81429159237416,705.5770656561496,-86.70%
Tezenis,2853.1073961434763,9531.085605402362,-70.07%
Anthropologie,23722.198702528607,1002.612244897959,2266.04%
Reserved,5893.771867966454,14857.890088201904,-60.33%
Kiko,10516.361612065519,6545.0478730080795,60.68%
Mango,56902.39426234181,107704.55769297088,-47.17%
Punt Roma,2040.711812251989,4718.956669054351,-56.76%
Trendyol,51636.785033677435,93727.09762135337,-44.91%
Intimissimi UOMO,167.1292517006803,0.0,inf%
Mohito,0.0,3466.5306122448983,-100.00%
Adidas,15652.803631284916,20352.065030608956,-23.09%
Decathlon,46989.18189430734,111034.1392627187,-57.68%
Reebok,249.1340782122905,3328.928686499839,-92.52%
Mood,3257.8231292517007,4115.646258503401,-20.84%
Calzedonia,13532.116592473132,31824.4717032137,-57.48%
Bose,1019.591836734694,1144.4897959183675,-10.91%
Virgin Megastore,24997.02390659189,28788.451392373176,-13.17%
Intimissimi,11829.593371348934,20093.304485436624,-41.13%
Squatwolf,1015.3747484131775,2024.716009694189,-49.85%
Boggi Milano,17132.00802219993,37361.51812662194,-54.15%
