Brand,TY,LY,vsLY
Decathlon,2555,3685,-30.66%
Urban Outfitters,871,924,-5.74%
Trendyol,3508,4084,-14.10%
Mango,3307,2234,48.03%
Anthropologie,1664,0,0.00%
Reserved,692,661,4.69%
Deichmann,571,424,34.67%
Virgin Megastore,569,412,38.11%
Intimissimi,590,405,45.68%
C7,329,0,0.00%
Calzedonia,885,912,-2.96%
Salsa Jeans,136,272,-50.00%
Tezenis,535,474,12.87%
Mood,39,23,69.57%
Kiko,1023,445,129.89%
Punt Roma,120,92,30.43%
Boggi Milano,220,271,-18.82%
Squatwolf,74,141,-47.52%
Intimissimi UOMO,25,0,0.00%
Bose,10,6,66.67%
Oculis,3,37,-91.89%
Adidas,788,497,58.55%
D2,88,0,0.00%
Reebok,34,146,-76.71%
