Brand,TY UPT,LY UPT,vs LY
Intimissimi UOMO,2.84,,
Punt Roma,1.9916666666666667,2.347826086956522,-15.16975308641976
Tezenis,2.527102803738318,2.5970464135021096,-2.6931982963474654
Mango,1.7408527366192925,1.8903312444046554,-7.907529869583249
Oculis,1.6666666666666667,2.7027027027027026,-38.33333333333333
Deichmann,2.415061295971979,1.8632075471698113,29.618479682546727
Decathlon,2.4853228962818004,2.9438263229308004,-15.575084137182568
Trendyol,3.7311858608893957,3.6513222331047994,2.187252252362469
Intimissimi,3.461016949152542,3.6419753086419755,-4.968687158862405
Salsa Jeans,1.4852941176470589,2.4705882352941178,-39.88095238095239
Calzedonia,2.663276836158192,3.119517543859649,-14.625361174823501
Kiko,3.2297165200391005,3.9820224719101125,-18.892559175090312
Reserved,1.7673410404624277,1.8078668683812404,-2.241637845551066
Virgin Megastore,1.3866432337434096,1.7427184466019416,-20.432170988539724
Reebok,1.3529411764705883,1.2397260273972603,9.13227169320767
Anthropologie,2.9344951923076925,,
Boggi Milano,1.9272727272727272,2.2878228782287824,-15.759530791788862
Mood,1.6153846153846154,1.9130434782608696,-15.55944055944056
Bose,1.0,1.1666666666666667,-14.28571428571429
Urban Outfitters,2.2571756601607347,2.566017316017316,-12.035836778215142
Squatwolf,1.7432432432432432,1.8156028368794326,-3.9854307432432434
Adidas,1.3604060913705585,1.3561368209255533,0.3148111886005271
