Brand,TY_Net_AOV,LY_Net_AOV,vs_LY
Adidas,1.5230078537380958e-05,1.2459238375439129e-05,22.23924190586144
Anthropologie,0.5078145440212707,0.0,0.0
Boggi Milano,0.00038316052495109,0.00031579865277307003,21.330639502894137
Bose,0.41191386027603427,0.4275221756317781,-3.650878538096499
Calzedonia,3.842162061180031e-05,3.6270665170938515e-05,5.930289479734231
Castore,0.5364833271810016,0.0,0.0
Decathlon,6.464188075469492e-05,5.336054447288998e-05,21.141718835977134
Deichmann,0.4719430403252026,0.4213707762282103,12.001844207060742
Dwell,0.4636036537637166,0.0,0.0
Gant,1.4786846275036871,0.0,0.0
Intimissimi,0.0002888858885910479,0.00022946176564832968,25.897178457953178
Intimissimi UOMO,0.4899049678871883,0.0,0.0
Isla & Evie,0.8377999467649253,0.0,0.0
Kiko,1.7979948582888276e-05,1.869509556736752e-05,-3.825318688006818
La Senza,0.40464607954072085,0.0,0.0
Little Mistress,0.5615828727934716,0.0,0.0
Mood,0.3162882208778034,0.24236679024227978,30.499818296734766
OVS,0.5420329062108333,0.0,0.0
Oculis,0.6495679604992456,0.2955176252429559,119.80684230431669
Punt Roma,0.526665080801901,0.3392222824247817,55.2566290861752
Reebok,1.3904853249759263e-05,1.3179883070126375e-05,5.500581270528196
Reserved,8.053956938201152e-05,5.534078612447125e-05,45.53383683575388
Salsa Jeans,8.79942050116192e-05,0.0003885461574216619,-77.35295965979012
Squatwolf,1.9676015663803834e-05,3.1251866859600665e-05,-37.040511044672826
Tezenis,3.769698388649333e-05,5.244387717208613e-05,-28.119380337199807
Trendyol,2.2622375315907294e-05,2.3090750343130146e-05,-2.02840973230738
Urban Outfitters,0.4451253824449058,0.29331204561925134,51.758302835855396
Virgin Megastore,0.43060808488272156,0.3860520694843508,11.54145228592718
Zippy,0.3991257152680567,0.0,0.0
