Brand,TY_Net_ASP,LY_Net_ASP,vs_LY
Adidas,52.779160706910424,20.25719492002866,160.54525769866933
Anthropologie,49.49286299236813,0.0,0.0
Boggi Milano,78.19389049445549,58.292869835118324,34.139716770897195
Bose,271.26111983254845,45.06938775510205,501.87442817401154
Calzedonia,7.24063873391338,4.149503883109995,74.49408261516369
Castore,103.8095238095238,0.0,0.0
Decathlon,13.560212093622876,12.254876853064669,10.651557385758409
Deichmann,11.88771108744708,19.815383122601233,-40.00766468205163
Dwell,23.50340136054422,0.0,0.0
Gant,34.73648146410793,0.0,0.0
Intimissimi,17.646447192915453,13.11612117788136,34.54013540736344
Intimissimi UOMO,21.732426303854876,0.0,0.0
Isla & Evie,41.98308622122014,0.0,0.0
Kiko,6.9970102371907705,6.90000832291506,1.4058231488441195
La Senza,17.25386359156813,0.0,0.0
Little Mistress,61.28284702310676,0.0,0.0
Missguided,0.0,,
Mohito,0.0,,
Mood,35.907275011915594,37.954058335663035,-5.3927917421790115
OVS,15.114803443501296,0.0,0.0
Oculis,27.065331687468568,23.363844399465282,15.842800631252278
Punt Roma,39.90195259125357,45.22787355763719,-11.7757492171203
Reebok,32.399116538911265,22.135111223756375,46.36979327277609
Reserved,20.83147046426615,10.589537107991582,96.7174792611597
Salsa Jeans,48.787202916258835,28.150243219579753,73.31005823184204
Squatwolf,16.066321644299073,21.97693246325027,-26.894612470757217
Tezenis,5.766325325531635,3.130971255365965,84.17049711488441
Trendyol,11.695924738795847,17.861124328522994,-34.517421615400465
Urban Outfitters,22.763025466596897,15.225043178792314,49.51041648475977
Virgin Megastore,126.42107278743444,34.22655968864421,269.3654107730226
Zippy,8.5989417989418,0.0,0.0
