TY Quantity,Budget Quantity,vs Budget,LY Quantity,vs LY,Brand
18138,13918,30.320448340278777,13918,30.320448340278777,Trendyol
962,1555,-38.135048231511256,1555,-38.135048231511256,Virgin Megastore
3913,29,13393.103448275864,29,13393.103448275864,Anthropologie
3300,2904,13.636363636363635,2904,13.636363636363635,Intimissimi
11218,22706,-50.59455650488858,22706,-50.59455650488858,Decathlon
121,0,0.0,0,0.0,Little Mistress
5759,10059,-42.74778805050204,10059,-42.74778805050204,Calzedonia
2539,4525,-43.889502762430936,4525,-43.889502762430936,Tezenis
1501,2848,-47.29634831460674,2848,-47.29634831460674,Reserved
2496,3919,-36.310283235519265,3919,-36.310283235519265,Urban Outfitters
346,32,981.25,32,981.25,Gant
1511,843,79.24080664294188,843,79.24080664294188,Deichmann
731,1247,-41.37931034482759,1247,-41.37931034482759,Boggi Milano
365,1337,-72.70007479431563,1337,-72.70007479431563,Salsa Jeans
237,423,-43.97163120567376,423,-43.97163120567376,Squatwolf
417,316,31.962025316455694,316,31.962025316455694,Punt Roma
5430,2048,165.13671875,2048,165.13671875,Kiko
157,146,7.534246575342466,146,7.534246575342466,Mood
113,0,0.0,0,0.0,OVS
90,13,592.3076923076924,13,592.3076923076924,Zippy
26,15,73.33333333333333,15,73.33333333333333,Bose
9,0,0.0,0,0.0,Isla & Evie
81,0,0.0,0,0.0,Intimissimi UOMO
32,0,0.0,0,0.0,Dwell
33,0,0.0,0,0.0,La Senza
2,0,0.0,0,0.0,Castore
6,107,-94.39252336448598,107,-94.39252336448598,Oculis
1285,2068,-37.862669245647965,2068,-37.862669245647965,Adidas
43,364,-88.18681318681318,364,-88.18681318681318,Reebok
