Brand,TY,LY,vs LY
Anthropologie,193665.5728891365,0,inf%
Calzedonia,41698.83846860716,41739.85956020344,-0.10%
Punt Roma,16639.11423055274,14292.008044213353,16.42%
Isla & Evie,377.8477759909813,0,inf%
Urban Outfitters,56816.51156462586,59666.94421768708,-4.78%
Zippy,773.9047619047619,0,inf%
Trendyol,212140.68291227907,248591.12840438302,-14.66%
Reserved,31268.03716686349,30159.001683560025,3.68%
Missguided,0.0,48.70748299319728,-100.00%
Little Mistress,7415.224489795918,0,inf%
Mood,5637.442176870748,5541.292517006803,1.74%
Mohito,0.0,13231.102040816328,-100.00%
Reebok,1393.1620111731843,8057.18048544732,-82.71%
Squatwolf,3807.7182296988794,9296.242431954863,-59.04%
Adidas,67821.2215083799,41891.87909461927,61.90%
Virgin Megastore,121617.07202151194,53222.30031584175,128.51%
Kiko,37993.76558794588,14131.217045330042,168.86%
Bose,7052.789115646259,676.0408163265307,943.25%
Decathlon,152118.45926626143,278259.2338256864,-45.33%
OVS,1707.9727891156465,0,inf%
Castore,207.61904761904762,0,inf%
Boggi Milano,57159.73395144696,72691.20868439255,-21.37%
Intimissimi UOMO,1760.3265306122448,0,inf%
Tezenis,14640.70000152482,14167.64493053099,3.34%
Deichmann,17962.331453132538,16704.36797235284,7.53%
La Senza,569.3774985217483,0,inf%
Salsa Jeans,17807.329064434474,37636.87518457813,-52.69%
Gant,12018.822586581344,0,inf%
Dwell,752.108843537415,0,inf%
Intimissimi,58233.27573662099,38089.21590056747,52.89%
Oculis,162.3919901248114,2499.931350742785,-93.50%
