Brand,TY,LY,vs LY
Kiko,84196.44736404742,16803.257861656573,401.07%
Deichmann,33306.5767630768,24923.47149282806,33.64%
Zippy,1782.3673469387757,0.0,inf%
Intimissimi UOMO,2327.020408163265,0.0,inf%
Urban Outfitters,108988.6530612245,118008.68571428573,-7.64%
Missguided,0.0,1636.132396711734,-100.00%
Mohito,0.0,37820.489795918365,-100.00%
Little Mistress,12265.945578231293,0.0,inf%
Gant,22629.62223511663,0.0,inf%
Tezenis,32465.653228423515,46952.83962269395,-30.85%
Mood,18459.627210884355,20689.727891156464,-10.78%
Reebok,2407.4374301675975,21302.24519385673,-88.70%
Decathlon,411884.35815373744,620145.0955627678,-33.58%
Isla & Evie,500.0248677862697,0.0,inf%
Dwell,1265.4938775510207,0.0,inf%
La Senza,794.5602767508303,0.0,inf%
Intimissimi,117864.09394385428,78648.44182025225,49.86%
Castore,283.5374149659864,0.0,inf%
Anthropologie,231333.75399882626,0.0,inf%
Squatwolf,10703.475339599645,16792.212025231143,-36.26%
Oculis,278.9740776299547,2499.931350742785,-88.84%
Adidas,127086.6282122905,129820.24103211255,-2.11%
OVS,2903.428571428571,0.0,inf%
Boggi Milano,151389.93284740506,187957.7058956711,-19.46%
Bose,18724.7074829932,2859.0748299319725,554.92%
Virgin Megastore,208925.45751926297,146239.16123646483,42.87%
Calzedonia,116633.73288395382,132048.21803306794,-11.67%
Trendyol,466728.0573529827,296095.96222927223,57.63%
Punt Roma,36255.07113722393,19717.849639835043,83.87%
Reserved,54354.624848961525,55462.25430890531,-2.00%
Salsa Jeans,49420.23460620909,90995.2372521585,-45.69%
