Brand,TY_Net_UPT,LY_Net_UPT,vs_LY
Adidas,2.885623479682743e-07,6.150524998463856e-07,-53.08329808587964
Anthropologie,0.010260359036000331,0.025650097293472493,-59.99875197895871
Boggi Milano,4.90013378958627e-06,5.417449057943246e-06,-9.549056443797493
Bose,0.0015185141922672584,0.009485866059571238,-83.99182338511856
Calzedonia,5.3063855308569445e-06,8.740964267697988e-06,-39.29290443999917
Castore,0.00516795865633075,0.0,0.0
Decathlon,4.767025789006267e-06,4.354229349889037e-06,9.480355901044806
Deichmann,0.03970007656255665,0.02126483114765512,86.69358946183962
Dwell,0.019724960087776074,0.0,0.0
Gant,0.04256863577364805,0.005364896809562928,693.4660681221204
Intimissimi,1.637076774904738e-05,1.7494635993092777e-05,-6.424073324469988
Intimissimi UOMO,0.022542580429700546,0.0,0.0
Isla & Evie,0.019955654101995565,0.0,0.0
Kiko,2.569661608799796e-06,2.7094308720296394e-06,-5.1586207521560485
La Senza,0.02345249093881032,0.0,0.0
Little Mistress,0.009163785628003317,0.0,0.0
Mood,0.008808471842345185,0.006385793795720206,37.938557431163396
OVS,0.035861062185620664,0.0,0.0
Oculis,0.024,0.01264850168449672,89.74579439252336
Punt Roma,0.013198980165129688,0.007500292535143973,75.97953817512433
Reebok,4.291738397576232e-07,5.954288160965347e-07,-27.921889543209012
Reserved,3.8662450411346305e-06,5.225987270275237e-06,-26.018858424601422
Salsa Jeans,1.803632915021948e-06,1.3802586158524224e-05,-86.93264512673912
Squatwolf,1.224674577007838e-06,1.4220304363158916e-06,-13.878455359883226
Tezenis,6.537436193476962e-06,1.6750034700001167e-05,-60.9706110431132
Trendyol,1.9342100621482264e-06,1.2927937748160565e-06,49.614741332076186
Urban Outfitters,0.019554754841270783,0.019265104353058234,1.503498153471298
Virgin Megastore,0.00340614167708219,0.011279312703240701,-69.80186854733127
Zippy,0.04641567818463126,0.019287833827893175,140.64743920339592
